mmsi	link	users	responses	longliner	pursseiner	trawler	reefers	multigear	other fishing	notfishing	multiple	baddata	not known	other	othertext	websitesfound
412040902	http://crowd.globalfishingwatch.org/project/maptests2/task/4167	isabelfleisher,katepepler,juliecharbonneau	3									1	2			
412201709	http://crowd.globalfishingwatch.org/project/maptests2/task/4168	isabelfleisher,katepepler,juliecharbonneau	3									1	2			
412332164	http://crowd.globalfishingwatch.org/project/maptests2/task/4169	isabelfleisher,katepepler,juliecharbonneau	3									1	2			
412333131	http://crowd.globalfishingwatch.org/project/maptests2/task/4170	isabelfleisher,katepepler,juliecharbonneau	3									1	2			
412348969	http://crowd.globalfishingwatch.org/project/maptests2/task/4171	isabelfleisher,katepepler,juliecharbonneau	3									1	2			
412409229	http://crowd.globalfishingwatch.org/project/maptests2/task/4172	isabelfleisher,juliecharbonneau,stephanielewis	3										3			
412410837	http://crowd.globalfishingwatch.org/project/maptests2/task/4173	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412411683	http://crowd.globalfishingwatch.org/project/maptests2/task/4174	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412418238	http://crowd.globalfishingwatch.org/project/maptests2/task/4175	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412419462	http://crowd.globalfishingwatch.org/project/maptests2/task/4176	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412419533	http://crowd.globalfishingwatch.org/project/maptests2/task/4177	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412419573	http://crowd.globalfishingwatch.org/project/maptests2/task/4178	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412421896	http://crowd.globalfishingwatch.org/project/maptests2/task/4179	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412422273	http://crowd.globalfishingwatch.org/project/maptests2/task/4180	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412422649	http://crowd.globalfishingwatch.org/project/maptests2/task/4181	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412423861	http://crowd.globalfishingwatch.org/project/maptests2/task/4182	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412426816	http://crowd.globalfishingwatch.org/project/maptests2/task/4183	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412428736	http://crowd.globalfishingwatch.org/project/maptests2/task/4184	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412432558	http://crowd.globalfishingwatch.org/project/maptests2/task/4185	isabelfleisher,juliecharbonneau,clairechristie	3		1								2			
412435055	http://crowd.globalfishingwatch.org/project/maptests2/task/4186	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412439319	http://crowd.globalfishingwatch.org/project/maptests2/task/4187	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412444812	http://crowd.globalfishingwatch.org/project/maptests2/task/4188	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412444889	http://crowd.globalfishingwatch.org/project/maptests2/task/4189	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412449093	http://crowd.globalfishingwatch.org/project/maptests2/task/4190	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412449691	http://crowd.globalfishingwatch.org/project/maptests2/task/4191	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412449876	http://crowd.globalfishingwatch.org/project/maptests2/task/4192	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412460689	http://crowd.globalfishingwatch.org/project/maptests2/task/4193	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412460723	http://crowd.globalfishingwatch.org/project/maptests2/task/4194	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412460726	http://crowd.globalfishingwatch.org/project/maptests2/task/4195	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412460781	http://crowd.globalfishingwatch.org/project/maptests2/task/4196	isabelfleisher,juliecharbonneau,clairechristie	3										3			
412898888	http://crowd.globalfishingwatch.org/project/maptests2/task/4197	isabelfleisher,juliecharbonneau,clairechristie	3							1			2			https://translate.google.ca/translate?hl=en&sl=zh-CN&u=http://www.shipxy.com/Home/Ship/412898888&prev=search
412985000	http://crowd.globalfishingwatch.org/project/maptests2/task/4198	isabelfleisher,juliecharbonneau,clairechristie	3										3			
413205407	http://crowd.globalfishingwatch.org/project/maptests2/task/4199	isabelfleisher,juliecharbonneau,clairechristie	3										3			
413463160	http://crowd.globalfishingwatch.org/project/maptests2/task/4200	isabelfleisher,juliecharbonneau,clairechristie	3							2			1			https://www.fleetmon.com/vessels/xiang-chun-668_0_2702500/?language=en,https://www.fleetmon.com/vessels/xiang-chun-668_0_2702500/?language=en
413666218	http://crowd.globalfishingwatch.org/project/maptests2/task/4201	juliecharbonneau,clairechristie,stephanielewis	3							1			2			https://translate.google.ca/translate?hl=en&sl=ko&u=https://www.vesselfinder.com/ko/vessels/YOUGUO-316-IMO-0-MMSI-413666218&prev=search
413763254	http://crowd.globalfishingwatch.org/project/maptests2/task/4202	juliecharbonneau,clairechristie,stephanielewis	3										3			https://www.vesselfinder.com/vessels/YU-HONG-XIANG-8815-IMO-0-MMSI-413763254
413771715	http://crowd.globalfishingwatch.org/project/maptests2/task/4203	juliecharbonneau,clairechristie,stephanielewis	3							1			2			http://www.myshiptracking.com/vessels/zhe-an-ji-huo-1826-mmsi-413771715-imo-
413776038	http://crowd.globalfishingwatch.org/project/maptests2/task/4204	juliecharbonneau,clairechristie,stephanielewis	3							1			2			
413784172	http://crowd.globalfishingwatch.org/project/maptests2/task/4205	juliecharbonneau,clairechristie,stephanielewis	3							2			1			https://www.vesselfinder.com/vessels/WANTONGLINGHUO2818-IMO-0-MMSI-413784172,http://www.chinaports.com/shipdata/413784172/view
413806188	http://crowd.globalfishingwatch.org/project/maptests2/task/4206	juliecharbonneau,clairechristie,stephanielewis	3									1	2			
413816324	http://crowd.globalfishingwatch.org/project/maptests2/task/4207	juliecharbonneau,clairechristie,stephanielewis	3										3			
413905235	http://crowd.globalfishingwatch.org/project/maptests2/task/4208	juliecharbonneau,clairechristie,stephanielewis	3							1			2			
413963275	http://crowd.globalfishingwatch.org/project/maptests2/task/4209	juliecharbonneau,clairechristie,stephanielewis	3							1			2			https://translate.google.ca/translate?hl=en&sl=fr&u=http://www.fleetmon.com/fr/vessels/Wanshouxianhuo7698_8026357&prev=search
413970364	http://crowd.globalfishingwatch.org/project/maptests2/task/4210	juliecharbonneau,clairechristie,stephanielewis	3							1			2			https://www.vesselfinder.com/vessels/XING-GANG-JI-68-IMO-0-MMSI-413970364
413976922	http://crowd.globalfishingwatch.org/project/maptests2/task/4211	juliecharbonneau,clairechristie,stephanielewis	3							2			1			https://www.fleetmon.com/vessels/wanchizhouhuo6766_0_8004886/?language=en,http://www.chinaports.com/shipdata/413976922/view
413985784	http://crowd.globalfishingwatch.org/project/maptests2/task/4212	juliecharbonneau,clairechristie,stephanielewis	3							1			2			https://www.vesselfinder.com/vessels/QING-SHUN-2098-IMO-0-MMSI-413985784
413987196	http://crowd.globalfishingwatch.org/project/maptests2/task/4213	juliecharbonneau,clairechristie,stephanielewis	3							1			2			https://www.vesselfinder.com/vessels/LONG-AN-689-IMO-0-MMSI-413987196
416001414	http://crowd.globalfishingwatch.org/project/maptests2/task/4214	juliecharbonneau,clairechristie,stephanielewis	3	1									2			http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000015668#.VuL1PeIrLIU
