mmsi,model_label,student_label,student_model_agreement,model_score,type,type_score,student_confidence,pybossa_url,othertext,KRISTINA'S LABEL
211481051,Longliner,not_known,0,0.75,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4111,,
412409229,Purse seine,not_known,0,0.79,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4172,,
412410837,Trawler,not_known,0,0.74,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4173,,
412411683,Purse seine,not_known,0,0.81,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4174,,
412418238,Trawler,not_known,0,0.83,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4175,,
412419462,Trawler,not_known,0,0.67,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4176,,
412419533,Purse seine,not_known,0,0.93,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4177,,
412419573,Purse seine,not_known,0,0.9,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4178,,
412421896,Trawler,not_known,0,0.65,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4179,,
412422273,Trawler,not_known,0,0.5,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4180,,
412422649,Trawler,not_known,0,0.64,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4181,,
412423861,Trawler,not_known,0,0.7,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4182,,
412426816,Trawler,not_known,0,0.74,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4183,,
412428736,Purse seine,not_known,0,0.88,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4184,,
412435055,Trawler,not_known,0,0.75,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4186,,
412439319,Trawler,not_known,0,0.78,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4187,,
