mmsi,link,users,responses,longliner,pursseiner,trawler,reefers,multigear,other fishing,notfishing,multiple,baddata,not known,other,othertext,websitesfound
412449247,http://crowd.globalfishingwatch.org/project/maptests2/task/485,"vaiduke2,juliecharbonneau,kristinaboerder,ciarawillis,clairechristie",5,,,,,,1,,,,4,,,
412323921,http://crowd.globalfishingwatch.org/project/maptests2/task/486,"vaiduke2,juliecharbonneau,kristinaboerder,ciarawillis,clairechristie",5,,,,,,1,,,,4,,,
412417063,http://crowd.globalfishingwatch.org/project/maptests2/task/487,"vaiduke2,juliecharbonneau,ciarawillis,clairechristie,sidneyblack-rotchin",5,,,1,,,1,,,,3,,,
412478686,http://crowd.globalfishingwatch.org/project/maptests2/task/488,"vaiduke2,juliecharbonneau,clairechristie,ninagalle,katepepler",5,,,,,,1,1,,1,2,,,
412450085,http://crowd.globalfishingwatch.org/project/maptests2/task/489,"vaiduke2,juliecharbonneau,clairechristie,ninagalle,katepepler",5,,,2,,,1,,,,2,,,
304145000,http://crowd.globalfishingwatch.org/project/maptests2/task/490,"vaiduke2,juliecharbonneau,clairechristie,ninagalle,katepepler",5,,,,,,,5,,,,,,"http://www.marinetraffic.com/en/ais/details/ships/304145000,http://www.marinetraffic.com/en/ais/details/ships/304145000,https://gisis.imo.org/Public/SHIPS/Default.aspx"
247143580,http://crowd.globalfishingwatch.org/project/maptests2/task/491,"vaiduke2,juliecharbonneau,clairechristie,ninagalle,katepepler",5,,,5,,,,,,,,,,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27717014&search_type=simple&search_id=8231,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27717014&search_type=advanced&search_id=9881,http://www.fao.org/figis/vrmf/finder/search/#quick,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000008738#.Vr9JO8dOmlA"
900402635,http://crowd.globalfishingwatch.org/project/maptests2/task/492,"vaiduke2,juliecharbonneau,clairechristie,ninagalle,katepepler",5,,,,,,,1,,2,2,,,
270007565,http://crowd.globalfishingwatch.org/project/maptests2/task/493,"vaiduke2,juliecharbonneau,clairechristie,ninagalle,katepepler",5,,,,,,1,,,1,3,,,
412435094,http://crowd.globalfishingwatch.org/project/maptests2/task/494,"vaiduke2,juliecharbonneau,clairechristie,ninagalle,katepepler",5,,,,,,,,,2,3,,,
265668860,http://crowd.globalfishingwatch.org/project/maptests2/task/495,"vaiduke2,juliecharbonneau,clairechristie,ninagalle,katepepler",5,,,,,,1,1,,3,,,,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27561708&search_type=simple&search_id=4253,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27561708&search_type=advanced&search_id=6951"
130400923,http://crowd.globalfishingwatch.org/project/maptests2/task/496,"vaiduke2,juliecharbonneau,clairechristie,ninagalle,sidneyblack-rotchin",5,,,,,,1,,,,4,,,
412329271,http://crowd.globalfishingwatch.org/project/maptests2/task/497,"vaiduke2,juliecharbonneau,clairechristie,ninagalle,sidneyblack-rotchin",5,,,,,,,,,1,4,,,
272740000,http://crowd.globalfishingwatch.org/project/maptests2/task/498,"vaiduke2,juliecharbonneau,clairechristie,ninagalle,stephanielewis,sidneyblack-rotchin",6,,,2,,,,,,1,3,,,"https://www.vesselfinder.com/vessels/SALGIR-IMO-8722824-MMSI-273376640,https://www.vesselfinder.com/?mmsi=272740000"
412462038,http://crowd.globalfishingwatch.org/project/maptests2/task/499,"vaiduke2,juliecharbonneau,ninagalle,sidneyblack-rotchin,stephanielewis,isabelfleisher",6,,,,,,1,,,,5,,,
231045000,http://crowd.globalfishingwatch.org/project/maptests2/task/500,"vaiduke2,ninagalle,elizabethnagel,juliecharbonneau,kristinaboerder,isabelfleisher,clairechristie,ciarawillis,katepepler,cailinburmaster,sidneyblack-rotchin",11,,,11,,,,,,,,,,"http://www.marinetraffic.com/en/ais/details/ships/231045000,http://ship-info.com/prog/ship.asp?id=8816974,http://www.marinetraffic.com/en/ais/details/ships/231045000,https://vimeo.com/122735972,https://www.vesseltracker.com/en/Ships/Enniberg-8816974.html,https://www.google.ca/url?sa=t&rct=j&q=&esrc=s&source=web&cd=5&cad=rja&uact=8&sqi=2&ved=0ahUKEwiP37Ozve3KAhWGWT4KHfx6DGcQtwIILDAE&url=https%3A%2F%2Fvimeo.com%2F122735972&usg=AFQjCNGjmCog2Rmsd1ps4p5gi5twcA_g_w&sig2=amigubLSfBFkuqoZ8aotrw&bvm=bv.113943665,d.cWw,https://gisis.imo.org/Public/SHIPS/Default.aspx,https://gisis.imo.org/Public/SHIPS/Default.aspx,https://www.vesselfinder.com/vessels/ENNIBERG-IMO-8816974-MMSI-231045000,http://www.marinetraffic.com/en/ais/details/ships/231045000"
412064497,http://crowd.globalfishingwatch.org/project/maptests2/task/501,"vaiduke2,ninagalle,juliecharbonneau,katepepler,clairechristie",5,,,,,,1,,,,4,,,
412431119,http://crowd.globalfishingwatch.org/project/maptests2/task/502,"vaiduke2,juliecharbonneau,ninagalle,katepepler,clairechristie",5,,,,,,,1,,2,2,,,
